id,gender,age,educational_achievement,working_memory,cognitive_control
8332,male,27,4.114907128,-0.533427701,-0.364578259
8834,female,42,8.808475083,2.829810044,1.148259312
6061,female,49,5.140572641,-0.719005674,0.679492004
6992,male,40,4.511714787,-0.717237573,0.410188165
5293,male,52,4.174522922,0.209692246,-1.038377359
3099,female,51,5.448416512,-0.76580617,-0.364201701
2281,male,27,6.847521662,1.12462546,0.612508527
5262,female,19,4.728212625,1.622626719,-0.557723761
3741,male,48,4.412163034,-0.759600611,-1.02808516
5846,female,20,6.756649505,1.477625779,1.289838554
4269,other,39,5.255885113,0.085725221,-1.041509559
3974,male,41,4.971464235,-0.387786949,0.728201321
9029,female,44,4.352996488,-1.231011109,-0.128052466
7008,male,39,6.360230507,0.219102725,-0.056147543
3920,female,21,5.50528218,0.214762836,-0.10029338
5681,male,48,2.404162445,-1.19753385,-2.088220804
1433,other,20,6.558827746,1.051405758,0.286352716
7311,other,41,5.287551657,1.032398189,-0.367084722
3911,male,49,5.726439277,0.701874465,-1.249710112
8709,female,34,5.204673014,-0.073042905,-0.898261697
3744,female,51,4.323942025,-0.469299655,-1.830279309
8546,female,48,5.256877255,0.547011015,-0.671964341
5575,male,49,4.376989164,-1.190519398,-0.611828029
8037,female,22,4.577144234,-0.205043722,-0.231065884
5980,male,18,6.310868908,0.276665401,1.346186097
8596,male,30,5.037928951,0.429263307,-0.661364488
9058,male,30,7.126462584,1.20386632,0.482976706
9122,male,48,2.922627451,-0.661936992,-2.170241031
5301,other,43,3.561095633,-1.902493034,-1.821873265
1886,female,30,9.037469107,1.78168935,1.494364498
3745,female,47,5.241653317,0.093437817,0.148036938
8550,female,39,7.195162463,0.782664648,1.793843899
7045,male,44,3.739106039,-1.38955668,-0.70212634
1581,male,53,4.04428822,-0.738928474,0.060764184
6326,male,24,5.068059293,-0.192538518,0.515994769
9640,female,20,6.577047004,0.02062057,1.182385934
4318,female,37,5.154962069,-0.782037675,-0.640558895
5717,female,31,8.256543833,1.925027649,0.151428509
3922,male,46,5.712565739,-0.013394736,1.691759021
3758,other,20,5.207486831,0.004899386,0.16730444
3543,male,49,3.943718076,-0.711609645,-0.964385842
8812,female,37,5.285259442,-0.77345783,0.570666377
6919,female,42,5.089976255,-0.531372868,-1.001221276
2491,male,24,6.916115709,1.57796257,0.654877984
8588,male,36,3.761419216,-0.224112131,-1.128845207
3677,female,46,3.763531608,-0.612627591,-1.126245038
6938,other,30,5.234775795,0.36407069,-0.296799071
8211,female,50,3.006468501,-1.099022278,-1.259453838
5550,male,35,5.992539751,0.022609591,0.142651556
7619,male,33,6.751347411,1.206490626,0.857121522
4287,female,48,5.531043178,-0.70589607,1.481202918
8153,female,45,3.245896164,-2.123754384,-1.02643212
7982,male,31,6.686653852,0.170542917,1.958102285
1596,female,35,4.040620041,-0.892377296,-0.814568062
4180,female,28,5.59257462,0.399046547,0.163244655
5715,female,53,5.127426912,-0.863799563,0.055348719
8442,female,42,2.574696635,-1.786261349,-1.74693032
1798,other,36,4.871631772,-1.170086629,-0.026534653
3606,male,24,4.877620063,-0.497106447,0.682959003
3995,female,36,7.823797275,0.933578924,1.586852454
9388,female,41,2.739646495,-2.658801371,-0.966012225
5246,other,28,6.163820345,0.813873881,0.47444664
2586,female,41,5.020473705,-0.784636067,-0.122497751
6300,male,51,4.721970977,-0.502399533,-0.568419135
8110,female,49,5.216099454,0.120641386,-0.901832869
7162,female,22,6.009116287,-0.527315375,1.254300138
5496,female,30,7.554722524,1.137997109,1.059995789
6157,female,24,9.480040705,1.800246214,1.378882277
2235,female,51,4.256526937,-1.162790822,-0.652757698
2817,female,48,4.019573139,-0.57360478,-1.3816857
7835,female,44,6.228357884,0.753067325,-0.360725507
2113,female,44,4.714249604,-0.229681336,-0.664245617
6853,female,52,5.199412028,0.916485244,-0.676049612
7485,female,36,7.05975984,0.802985908,1.515612761
9013,male,49,5.104483079,-0.302725781,0.249988379
8935,female,24,5.120100841,-0.223599368,0.063440873
