Condition,Independent_Variable,Dependent.variable,Participant ID
placebo,33.1565513,59.37338493,827
placebo,53.10408092,25.44262961,850
placebo,70.30926549,30.02230935,276
placebo,69.09607383,82.4447991,779
placebo,37.06942272,48.13088261,756
placebo,69.81960841,34.37310326,615
placebo,55.58078936,96.86864536,426
placebo,71.42611271,34.36673252,4
placebo,68.98405602,85.66526045,102
placebo,64.18377236,29.35977552,559
placebo,27.21436343,84.09960783,616
placebo,70.86783299,78.85408724,428
placebo,76.56742008,17.23034045,997
placebo,63.87900111,83.7708532,647
placebo,67.49211031,29.0643188,379
placebo,72.13305109,16.65984907,595
placebo,38.85180644,80.30679847,348
placebo,69.28958337,18.12473716,792
placebo,76.74148397,23.26931801,93
placebo,79.2762126,73.1742989,508
placebo,66.38725676,24.59964841,632
placebo,51.35971404,15.78744641,926
placebo,36.24085925,25.17522025,442
placebo,41.87716699,85.15463197,20
placebo,54.30112648,8.093376192,128
placebo,43.26177973,19.42695493,423
placebo,58.172259,24.46314123,669
placebo,40.868035,24.59389144,640
placebo,80.39735202,25.92441282,107
placebo,64.88577237,86.47170017,356
placebo,78.72158116,75.37548533,534
placebo,64.05161008,9.544796921,817
placebo,76.80202495,75.51792789,432
placebo,29.58157735,59.85252335,244
placebo,81.95503785,73.75805686,77
placebo,73.80422709,55.78609724,325
placebo,64.17610993,73.92786953,611
placebo,28.9027991,6.724433378,730
placebo,73.3724244,69.51528179,878
placebo,78.34277454,59.31199762,396
placebo,70.88845208,23.03367948,483
placebo,78.93356357,21.25410094,371
placebo,69.82712008,17.51051957,891
placebo,74.42989462,48.09596295,850
placebo,58.91196102,73.74680565,598
placebo,54.09594133,10.53699752,439
placebo,77.53805733,68.55823927,979
placebo,64.92450743,-3.790920431,282
placebo,72.50059589,43.36387281,965
placebo,75.27424484,6.057675571,386
placebo,71.88413775,80.06712831,566
placebo,40.85891978,68.50184107,666
placebo,45.07196764,75.72097085,794
placebo,34.22781563,65.38335621,899
placebo,73.03183135,79.77819912,919
placebo,75.1548489,19.80270923,555
placebo,44.87997148,90.11948658,765
placebo,49.64559012,78.48442817,815
placebo,40.68170711,19.46473837,166
placebo,62.07316572,15.02479374,205
placebo,69.64837209,21.48732624,909
placebo,34.99772725,42.47565179,981
placebo,30.85400519,72.01630743,832
placebo,31.21603526,44.16452664,323
placebo,84.95924475,50.52450196,825
placebo,68.32545299,40.44192984,633
placebo,81.82814923,97.90184604,379
placebo,50.228282,30.25008316,989
placebo,63.99944336,28.68835406,888
placebo,71.05425245,33.58388555,480
placebo,68.25626602,34.70718496,19
placebo,76.81971651,43.37520648,181
placebo,29.25733661,93.70279407,13
placebo,29.45361407,51.33879417,539
placebo,81.69298224,89.3426754,920
placebo,39.12696694,93.86131207,105
placebo,67.02011943,75.63252741,968
placebo,80.03501367,37.16915461,586
placebo,37.38900146,66.09027471,976
placebo,44.78588295,46.97240861,97
placebo,62.36058966,39.49851319,275
placebo,42.22960238,42.09054753,908
placebo,35.51725465,92.14044932,177
placebo,42.99329744,25.69153747,861
placebo,41.38878327,46.11894189,454
placebo,44.15685669,37.80238238,138
placebo,38.39309333,84.59750062,273
placebo,94.10425159,77.32506504,283
placebo,49.40638953,91.33868887,568
placebo,44.55946821,21.35821503,91
placebo,46.84673056,69.00157081,122
placebo,51.098157,25.71775368,424
placebo,35.93863663,50.60331802,912
placebo,35.64754491,71.14475559,295
placebo,33.77642167,61.81424243,15
placebo,70.59040384,65.36897632,135
placebo,47.9602849,64.65519467,365
placebo,37.94224212,62.83635432,140
placebo,72.92627658,16.6540244,235
placebo,79.08113115,70.34252815,494
placebo,46.90623342,80.08352242,921
placebo,58.22416365,62.34671442,287
placebo,68.98433484,2.746035226,964
placebo,52.82834091,77.10948698,3
placebo,36.8164743,-2.279125784,497
placebo,38.23370151,3.356128751,535
placebo,40.73796615,47.70959144,360
placebo,33.80642024,45.14320924,173
placebo,43.91354323,59.97592577,27
placebo,87.49074602,12.01702052,119
placebo,47.65031231,73.88340529,735
placebo,41.67297303,60.57972971,136
placebo,45.40023637,83.29641426,602
placebo,67.00503988,66.92340992,837
placebo,47.45221996,61.73984785,307
placebo,43.03048243,65.2000485,291
placebo,28.96897593,45.92667086,629
placebo,24.24342672,43.17799941,224
placebo,86.84323532,2.021111385,393
placebo,41.29286492,63.65086308,238
placebo,61.15806825,75.41299574,476
placebo,33.68026344,0.805054774,618
placebo,80.05381164,33.44301928,521
placebo,26.46486684,29.93399435,676
placebo,68.4388336,16.43214157,174
placebo,73.7167481,39.50070692,880
placebo,38.08412855,1.366819431,696
placebo,54.34824678,65.6380006,72
placebo,34.40734122,16.42649052,275
placebo,78.61422295,48.66256919,174
placebo,66.07749109,65.46841073,45
placebo,38.70888868,33.1196053,639
placebo,46.79022304,32.45037598,824
placebo,60.32880189,65.95372084,383
placebo,47.35644693,55.69252342,588
placebo,58.39467887,70.78011776,344
placebo,55.99273159,64.94476224,784
placebo,52.21999218,77.1824172,176
placebo,50.71520273,68.75486526,891
placebo,48.44966743,34.27738841,325
placebo,44.41899265,49.21502285,722
placebo,69.49890671,35.64085848,941
proteins,57.27637483,99.214358,70
proteins,50.40843276,88.31374052,668
proteins,52.73738056,94.74736864,735
proteins,48.12878716,99.25826441,645
proteins,41.12355414,98.8553833,715
proteins,27.68096764,92.87722407,145
proteins,42.71187698,73.37992247,523
proteins,34.29443955,72.10051981,739
proteins,31.49037037,69.10672847,765
proteins,24.85844166,63.95338482,998
proteins,37.28566871,75.47465916,365
proteins,30.29097777,69.65246451,613
proteins,24.11126098,45.72892468,296
proteins,23.32571333,58.10249141,338
proteins,30.38619296,53.64138531,932
proteins,18.33422482,54.09538285,37
proteins,31.45287269,50.70163369,763
proteins,27.56778884,56.71329829,543
proteins,45.87452001,50.8140815,811
proteins,45.25638439,47.62986962,585
proteins,48.6766914,57.15089028,121
proteins,51.01406656,49.106958,170
proteins,48.11693112,56.11621589,883
proteins,66.57041288,51.39452037,960
proteins,74.92422767,52.31392005,125
proteins,73.37006471,65.35554228,11
proteins,61.26916434,74.25577542,150
proteins,58.21744925,62.82355142,331
proteins,64.53210162,61.28133077,225
proteins,49.50730152,52.36692963,422
proteins,41.90802312,48.00345793,936
proteins,47.12183416,30.56470651,236
proteins,47.74357782,54.64263829,82
proteins,41.81790762,47.76301712,88
proteins,53.57005932,29.19659537,345
proteins,54.70453301,34.61341342,859
proteins,42.52502669,27.40533566,149
proteins,42.51462649,34.46196798,372
proteins,33.31246819,31.44370151,301
proteins,42.12051676,28.44133139,110
proteins,31.47167434,55.69341048,972
proteins,37.71887677,50.32865124,615
proteins,54.19339416,48.78570365,809
proteins,28.05805658,36.53286709,597
proteins,31.70540171,29.78859984,507
proteins,29.75256678,24.90070021,946
proteins,43.06535521,31.35019107,302
proteins,38.82556487,35.54287127,989
proteins,44.00910215,31.5493577,928
proteins,53.75497581,33.85072919,571
proteins,58.67365425,27.45243682,831
proteins,49.95257825,33.42565504,456
proteins,57.76775054,25.67489307,934
proteins,64.49856768,27.08264179,722
proteins,56.84253252,50.55951085,213
proteins,62.39886216,53.72664628,707
proteins,74.31562274,44.80407448,901
proteins,70.54474198,49.55485496,885
proteins,55.99244306,53.53174243,933
proteins,71.3753404,54.87285329,570
proteins,75.68764483,52.0874771,665
proteins,67.03441528,72.86136447,623
proteins,77.71342308,73.86966137,734
proteins,61.04592716,69.20710349,8
proteins,53.00269346,95.92267947,675
proteins,49.73157948,91.14231632,730
proteins,41.04546476,97.85487059,560
proteins,59.35338933,92.96109587,460
proteins,51.57836164,83.93281911,519
proteins,62.39369743,88.99595405,941
proteins,61.94495072,87.45867345,911
proteins,57.16375361,95.17595432,940
proteins,59.12773896,69.40880089,167
proteins,57.53575926,68.78906615,918
proteins,40.95115593,71.37799242,440
proteins,32.95460567,53.19130005,763
proteins,36.99930394,61.10957809,200
proteins,31.95043959,72.35768696,869
proteins,54.5144364,87.77220398,114
proteins,63.6992468,86.44811149,739
proteins,70.58144154,89.92788245,98
proteins,69.9665306,87.02025363,315
proteins,75.82168666,96.712586,790
proteins,75.99288054,84.81476948,861
proteins,60.94226706,81.65040412,219
proteins,64.76782826,71.31422666,766
proteins,82.00228043,66.20595466,923
proteins,81.93591168,74.37543897,83
proteins,76.67635466,70.54077469,592
proteins,78.95805063,75.74606219,13
proteins,69.54222166,50.98028598,497
proteins,88.3506441,50.03152656,125
proteins,85.51167052,55.53658918,809
proteins,79.44748813,58.15151829,704
proteins,97.58475991,54.05774823,472
proteins,105.1660169,39.55153643,111
proteins,101.5312355,29.11760456,383
proteins,102.5883043,27.39380306,524
proteins,51.83387601,56.74504721,698
proteins,65.57628724,32.46478624,421
proteins,71.22112558,32.41027892,342
proteins,66.45044466,40.78547021,504
proteins,69.58992815,26.67063373,838
proteins,72.94709318,34.24661244,433
proteins,79.80016797,28.60929109,736
proteins,71.5454053,29.68626296,326
proteins,60.24333726,25.62333523,102
proteins,69.61878575,27.53245577,996
proteins,61.07479849,20.68210936,956
proteins,55.68189378,13.73490734,300
proteins,57.79498373,14.02094922,301
proteins,55.76655619,12.35634932,643
proteins,57.78745972,11.66834369,171
proteins,59.77114179,13.39233144,3
proteins,56.24659285,9.111254172,130
proteins,47.356653,9.558013756,153
proteins,49.89467994,8.671767386,563
proteins,46.76108422,4.982693535,190
proteins,55.8441383,11.03362185,280
proteins,53.8179752,4.941571239,824
proteins,54.67651044,21.35680067,588
proteins,64.03378481,17.28244819,780
proteins,49.63670731,10.55955197,402
proteins,40.24059194,16.01948386,897
proteins,52.69487457,10.39085577,737
proteins,63.0408084,25.30933399,388
proteins,48.61718163,5.643939598,986
proteins,60.72567345,11.62087217,247
proteins,74.57042949,19.41401088,208
proteins,55.27537411,15.50886294,792
proteins,72.39317617,18.54871477,822
proteins,78.65534195,8.511508853,291
proteins,78.28466595,10.36884968,457
proteins,70.94407438,14.89867992,396
proteins,64.15448771,12.62928092,638
proteins,69.84079251,13.30598653,441
proteins,39.50968557,28.71691324,395
proteins,43.1677405,35.98750511,915
proteins,87.02200612,47.30727409,682
proteins,56.9776895,91.92829018,562
proteins,52.12591161,93.60067349,788
proteins,45.89241001,89.19973568,300
magnesium,62.2832697,89.20894891,841
magnesium,59.9751945,99.21988858,12
magnesium,51.00889765,101.2108041,311
magnesium,50.67403465,93.74530709,527
magnesium,57.66635609,91.77546899,690
magnesium,27.39837997,84.80258132,11
magnesium,32.78760135,79.92781774,888
magnesium,28.25836038,80.72957695,898
magnesium,39.65532598,71.24514999,537
magnesium,34.18249107,69.2887864,769
magnesium,32.64484842,74.82189976,409
magnesium,38.18456609,63.99415966,473
magnesium,43.37259167,67.04981095,458
magnesium,31.0305915,59.63418601,88
magnesium,32.87974155,50.33688285,888
magnesium,38.08293583,53.08404959,681
magnesium,40.41605704,55.83492386,994
magnesium,29.14042446,50.91918936,520
magnesium,48.97075698,50.2780542,428
magnesium,50.29630371,54.95195599,419
magnesium,50.36417719,56.1845281,503
magnesium,42.31956601,57.88399227,990
magnesium,55.5973693,58.50629474,406
magnesium,60.55441269,54.54835994,478
magnesium,78.63396466,57.90041989,762
magnesium,70.61237059,78.22726658,703
magnesium,64.48779634,70.20964502,704
magnesium,68.3465003,62.88082948,837
magnesium,49.4109931,51.14954008,408
magnesium,57.67874492,57.09604186,377
magnesium,62.08000198,38.69475054,841
magnesium,52.56881812,47.44249839,156
magnesium,55.98018096,57.59772942,991
magnesium,42.75380908,55.81620008,942
magnesium,51.07798574,39.11943618,55
magnesium,61.74557186,37.05553755,878
magnesium,27.65430927,39.22735189,660
magnesium,28.74239722,38.29117972,62
magnesium,31.0767118,32.45484885,872
magnesium,32.81180631,33.92830202,938
magnesium,27.10280304,45.54820025,211
magnesium,37.6775669,35.0756507,915
magnesium,28.61114064,42.05309333,583
magnesium,31.15492308,41.59372857,445
magnesium,26.73432205,28.26157524,637
magnesium,29.42063584,39.84635853,467
magnesium,26.92125803,29.94360887,937
magnesium,25.8230307,17.37978239,404
magnesium,48.50519798,11.97396592,980
magnesium,53.44233342,29.59051935,43
magnesium,38.06898149,34.5157653,923
magnesium,55.5227097,32.69875447,912
magnesium,60.52537853,25.00376242,925
magnesium,47.42460031,33.88632444,960
magnesium,50.68772566,38.47643936,466
magnesium,50.41583667,55.36035797,619
magnesium,47.72590461,49.00369559,315
magnesium,75.53915253,54.4743037,9
magnesium,71.11122032,43.80472188,825
magnesium,74.50363323,58.91018277,191
magnesium,68.09003486,62.5618921,997
magnesium,73.85145109,63.4278928,833
magnesium,68.35775083,54.26623548,713
magnesium,80.18444081,73.92746298,466
magnesium,57.61735241,85.40358723,996
magnesium,54.25181005,80.39071534,111
magnesium,47.12083944,86.52762618,51
magnesium,45.32806424,96.02474778,923
magnesium,48.73003432,97.50854609,897
magnesium,49.26422689,82.81956472,368
magnesium,54.41737439,90.68555788,613
magnesium,51.30014281,76.4835632,143
magnesium,55.93545276,72.40845643,114
magnesium,48.24810311,83.14270991,578
magnesium,51.33014232,75.27871874,507
magnesium,34.62754147,57.94723417,172
magnesium,27.37038654,65.56913657,668
magnesium,38.90199509,68.28181282,474
magnesium,51.58051447,98.80348525,212
magnesium,73.46466925,91.21547384,639
magnesium,69.32311389,93.94938137,465
magnesium,68.81237844,93.71935283,886
magnesium,73.50827924,89.68130096,37
magnesium,76.78173494,84.70909302,910
magnesium,66.39948084,83.05069857,651
magnesium,79.76376301,90.63240055,714
magnesium,70.26933397,75.48891224,515
magnesium,74.14609974,74.47334002,341
magnesium,78.3007706,66.66093432,819
magnesium,96.76671435,63.77689507,798
magnesium,89.29655767,50.8413905,995
magnesium,92.31136546,47.02954404,716
magnesium,93.28289732,46.14779142,637
magnesium,91.73640379,55.03534914,167
magnesium,92.41155443,45.559656,553
magnesium,90.47384697,35.89176266,727
magnesium,88.1533301,55.99674089,286
magnesium,90.94290142,43.06195456,103
magnesium,59.79615368,36.73964757,732
magnesium,58.97543441,46.58334833,820
magnesium,71.14301431,34.32559114,398
magnesium,72.0916152,25.26825569,828
magnesium,77.01263106,26.47352194,403
magnesium,71.55443862,13.24220664,888
