target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
left,left,C,c,switch,0.303,0.186,0.488
right,left,I,c,switch,0.407,0.103,0.501
right,right,C,i,repeat,0.27,0.168,0.435
left,right,I,c,switch,0.356,0.155,0.509
left,left,C,i,repeat,0.26,0.223,0.472
right,left,I,c,switch,0.355,0.152,0.506
left,right,I,i,switch,0.343,0.152,0.488
right,right,C,i,switch,0.251,0.15,0.408
left,left,C,c,switch,0.289,0.138,0.418
left,left,C,c,repeat,0.236,0.188,0.417
left,right,I,c,repeat,0.274,0.258,0.519
left,right,I,i,repeat,0.275,0.321,0.589
left,left,C,i,repeat,0.271,0.202,0.468
right,left,I,c,switch,0.34,0.174,0.501
right,left,I,i,repeat,0.236,0.233,0.472
left,right,I,i,switch,0.251,0.274,0.524
right,left,I,i,switch,0.241,0.25,0.491
right,right,C,i,repeat,0.252,0.201,0.452
left,left,C,c,switch,0.305,0.158,0.457
right,right,C,c,switch,0.268,0.172,0.442
left,right,I,c,switch,0.307,0.188,0.485
left,left,C,i,repeat,0.26,0.15,0.405
left,left,C,c,repeat,0.244,0.219,0.453
left,left,C,c,repeat,0.244,0.172,0.41
right,left,I,c,switch,0.218,0.284,0.509
right,left,I,i,repeat,0.186,0.317,0.505
left,left,C,i,switch,0.275,0.19,0.457
left,right,I,c,repeat,0.254,0.251,0.507
right,left,I,i,switch,0.291,0.251,0.541
left,right,I,i,switch,0.254,0.224,0.473
right,right,C,i,switch,0.253,0.151,0.402
left,right,I,c,switch,0.218,0.284,0.504
left,left,C,i,repeat,0.257,0.201,0.452
left,left,C,c,repeat,0.269,0.183,0.459
left,right,I,c,repeat,0.207,0.207,0.409
left,left,C,i,repeat,0.207,0.17,0.37
right,left,I,c,switch,0.191,0.269,0.45
left,left,C,i,switch,0.254,0.185,0.443
right,left,I,c,switch,0.239,0.251,0.485
right,left,I,i,repeat,0.219,0.349,0.567
left,left,C,i,switch,0.241,0.257,0.492
right,right,C,c,switch,0.21,0.22,0.425
left,right,I,c,switch,0.276,0.256,0.525
left,right,I,i,repeat,0.223,0.352,0.569
left,left,C,i,repeat,0.221,0.285,0.5
left,left,C,c,repeat,0.238,0.191,0.423
right,right,C,c,switch,0.252,0.202,0.459
right,right,C,c,repeat,0.225,0.223,0.442
right,left,I,c,repeat,0.269,0.299,0.575
left,right,I,i,switch,0.202,0.276,0.471
right,left,I,i,switch,0.239,0.302,0.538
right,left,I,i,repeat,0.274,0.301,0.569
left,left,C,i,switch,0.277,0.167,0.441
left,left,C,c,repeat,0.238,0.222,0.451
right,right,C,c,switch,0.208,0.218,0.417
right,right,C,c,repeat,0.242,0.255,0.493
right,right,C,c,repeat,0.225,0.237,0.455
left,left,C,c,switch,0.251,0.207,0.453
left,right,I,c,repeat,0.203,0.484,0.684
right,left,I,i,switch,0.287,0.222,0.505
left,right,I,i,switch,0.156,0.322,0.47
right,left,I,i,switch,0.12,0.404,0.526
right,right,C,i,repeat,0.208,0.216,0.426
left,left,C,c,switch,0.202,0.192,0.392
right,left,I,c,switch,0.236,0.221,0.457
right,left,I,i,repeat,0.242,0.373,0.603
left,right,I,i,switch,0.305,0.219,0.527
left,left,C,i,repeat,0.241,0.209,0.437
left,right,I,c,repeat,0.202,0.307,0.504
right,left,I,i,switch,0.239,0.309,0.541
left,left,C,i,switch,0.289,0.156,0.441
left,right,I,c,repeat,1.007,0.053,1.056
left,left,C,i,repeat,0.226,0.269,0.489
left,right,I,c,repeat,0.234,0.356,0.59
right,right,C,i,switch,0.238,0.233,0.472
right,left,I,c,repeat,0.223,0.337,0.554
right,right,C,i,repeat,0.242,0.268,0.502
left,right,I,c,switch,0.238,0.225,0.46
left,left,C,i,repeat,0.256,0.217,0.468
