MemberID,Name,Parliament,Party,Date_Elected,Method_of_Election,Date_Vacated,Reason_for_Leaving,Electorate_List
1,"CARLETON, Hugh",1,,14/07/1853,General election,25/10/1855,Re-elected,Bay of Islands
5,"MERRIMAN, Frederick Ward",1,,14/07/1853,General election,25/10/1855,Re-elected,Suburbs of Auckland
2,"MACKAY, James",1,,25/07/1853,General election,15/09/1855,Retired,Town of Nelson
3,"TRAVERS, William Thomas Locke",1,,25/07/1853,General election,26/05/1854,Resigned,Town of Nelson
4,"WELD, Frederick Aloysius",1,,2/08/1853,General election,13/06/1855,Resigned,Wairau
6,"PORTER, William Field",1,,10/08/1853,General election,15/09/1855,Retired,Suburbs of Auckland
7,"BARTLEY, Hon Thomas Houghton",1,,11/08/1853,General election,11/07/1854,Resigned,City of Auckland
8,"O'BRIEN, Loughlin",1,,11/08/1853,General election,25/10/1855,Retired,City of Auckland
9,"O'NEILL, James",1,,11/08/1853,General election,25/10/1855,Defeated,City of Auckland
10,"FEATHERSTON, Isaac Earl",1,,12/08/1853,General election,9/08/1855,Resigned,Wanganui and Rangitikei
11,"REVANS, Samuel",1,,12/08/1853,General election,25/10/1855,Retired,Wairarapa and Hawkes Bay
12,"BACOT, John Thomas Watson",1,,13/08/1853,General election,25/10/1855,Defeated,Pensioner Settlements
13,"GREENWOOD, Joseph",1,,13/08/1853,General election,25/10/1855,Re-elected,Pensioner Settlements
14,"CLIFFORD, Charles",1,,15/08/1853,General election,12/11/1855,Re-elected,City of Wellington
15,"HART, Robert",1,,15/08/1853,General election,15/09/1855,Defeated,City of Wellington
16,"KELHAM, James",1,,15/08/1853,General election,3/07/1855,Resigned,City of Wellington
17,"CAUTLEY, William Oldfield",1,,16/08/1853,General election,26/05/1854,Resigned,Waimea
18,"MONRO, David",1,,16/08/1853,General election,25/10/1855,Retired,Waimea
19,"FITZGERALD, James Edward",1,,17/08/1853,General election,20/12/1855,Re-elected,Town of Lyttelton
22,"LUDLAM, Alfred",1,,18/08/1853,General election,9/07/1855,Resigned,Hutt
20,"PICARD, Alfred Christopher",1,,18/08/1853,General election,15/09/1855,Died,Motueka and Massacre Bay
21,"RHODES, William Barnard",1,,18/08/1853,General election,25/10/1855,Re-elected,Wellington Country
23,"WAKEFIELD, Edward Gibbon",1,,19/08/1853,General election,25/10/1855,Retired,Hutt
24,"SEWELL, Henry",1,,20/08/1853,General election,17/12/1855,Re-elected,Town of Christchurch
25,"FORSAITH, Thomas Spencer",1,,23/08/1853,General election,25/10/1855,Defeated,Northern Division
26,"GRAY, John",1,,23/08/1853,General election,25/10/1855,Retired,Southern Division
27,"LEE, Walter",1,,23/08/1853,General election,26/10/1855,Re-elected,Northern Division
28,"TAYLOR, Charles John",1,,23/08/1853,General election,25/10/1855,Re-elected,Southern Division
29,"MOORHOUSE, William Sefton",1,,24/08/1853,General election,25/10/1855,Retired,Akaroa
30,"CROMPTON, William Morgan",1,,26/08/1853,General election,25/10/1855,Retired,Omata
31,"GLEDHILL, Francis Ullathorne",1,,26/08/1853,General election,15/09/1855,Retired,Town of New Plymouth
32,"KING, Thomas",1,,27/08/1853,General election,22/06/1855,Resigned,Grey and Bell
33,"STUART-WORTLEY, James Frederick",1,,27/08/1853,General election,18/07/1855,Resigned,Christchurch Country
34,"WAKEFIELD, Edward Jerningham",1,,27/08/1853,General election,25/10/1855,Retired,Christchurch Country
35,"MACANDREW, James",1,,27/09/1853,General election,10/11/1855,Re-elected,Town of Dunedin
36,"CARGILL, John",1,,1/10/1853,General election,10/12/1855,Resigned,Dunedin Country
37,"CUTTEN, William Henry",1,,1/10/1853,General election,23/07/1855,Resigned,Dunedin Country
38,"STEPHENS, Samuel",1,,19/06/1854,By-election,26/06/1855,Died,Town of Nelson
3,"TRAVERS, William Thomas Locke",1,,21/06/1854,By-election,25/10/1855,Re-elected,Waimea
39,"BROWN, William",1,,4/08/1854,By-election,25/10/1855,Retired,City of Auckland
40,"GRAHAM, Robert",2,,26/10/1855,General election,27/01/1861,Re-elected,Southern Division
5,"MERRIMAN, Frederick Ward",2,,26/10/1855,General election,13/03/1860,Resigned,Suburbs of Auckland
28,"TAYLOR, Charles John",2,,26/10/1855,General election,13/04/1858,Resigned,Southern Division
41,"BECKHAM, Thomas",2,,27/10/1855,General election,31/05/1859,Resigned,City of Auckland
42,"BRODIE, Walter",2,,27/10/1855,General election,6/12/1859,Resigned,Suburbs of Auckland
43,"CAMPBELL, John Logan",2,,27/10/1855,General election,19/11/1856,Resigned,City of Auckland
44,"DALDY, William Crush",2,,27/10/1855,General election,11/12/1860,Defeated,City of Auckland
13,"GREENWOOD, Joseph",2,,27/10/1855,General election,3/07/1857,Resigned,Pensioner Settlements
45,"HENDERSON, Thomas",2,,27/10/1855,General election,30/03/1860,Resigned,Northern Division
27,"LEE, Walter",2,,27/10/1855,General election,11/12/1860,Retired,Northern Division
46,"WILLIAMSON, John",2,,27/10/1855,General election,10/01/1861,Re-elected,Pensioner Settlements
56,"ELLIOTT, Charles",2,,5/11/1855,General election,20/03/1858,Resigned,Waimea
47,"RICHMOND, Christopher William",2,,5/11/1855,General election,27/12/1860,Re-elected,Town of New Plymouth
3,"TRAVERS, William Thomas Locke",2,,5/11/1855,General election,26/07/1859,Disqualified: Public servant,Waimea
48,"BROWN, Charles",2,,8/11/1855,General election,14/08/1856,Resigned,Grey and Bell
49,"PARKER, Charles",2,,8/11/1855,General election,15/04/1856,Resigned,Motueka and Massacre Bay
50,"EAST, Alfred William",2,,10/11/1855,General election,25/03/1860,Resigned,Omata
51,"DOMETT, Alfred",2,,12/11/1855,General election,26/12/1860,Re-elected,Town of Nelson
52,"STAFFORD, Edward William",2,,12/11/1855,General election,26/12/1860,Re-elected,Town of Nelson
14,"CLIFFORD, Charles",2,,13/11/1855,General election,5/11/1860,Retired,City of Wellington
10,"FEATHERSTON, Isaac Earl",2,,13/11/1855,General election,24/03/1858,Resigned,City of Wellington
53,"FITZHERBERT, William",2,,13/11/1855,General election,17/03/1858,Resigned,City of Wellington
54,"WARD, Charles Dudley Robert",2,,15/11/1855,General election,22/03/1858,Resigned,Wellington Country
55,"BELL, Francis Dillon",2,,16/11/1855,General election,10/10/1856,Resigned,Hutt
