Start_Date,End_Date,Polling_organisation,Sample_size,NAT,LAB,GRN,ACT,NZF,TPM,TOP,Others,Lead
29 Mar 2025,02 Apr 2025,1 News–Verian,1000,36,32,10,9,7,3.4,2.1,1.3,4
29 Mar 2025,01 Apr 2025,Taxpayers' Union–Curia,1000,33.5,29.8,11,10,7.4,4.3,1.5,1.4,3.7
21 Mar 2025,27 Mar 2025,RNZ–Reid Research,1000,32.9,32.3,10,9.4,7.2,5,1.8,,0.6
24 Feb 2025,23 Mar 2025,Roy Morgan,888,32.5,27.5,14.5,7.5,7,5.5,4,1.5,5
01 Mar 2025,10 Mar 2025,Talbot Mills,1003,31,34,10,10,6.1,4.4,,,3
02 Mar 2025,04 Mar 2025,Taxpayers' Union–Curia,1000,33.6,34.1,10,7.7,5.1,6.5,0.5,2.5,0.5
27 Jan 2025,23 Feb 2025,Roy Morgan,888,30.5,29,15.5,11,6,3,2.5,2.5,1.5
03 Feb 2025,07 Feb 2025,1 News–Verian,1002,34,33,10,9,5,3.7,1.9,3.6,1
02 Feb 2025,04 Feb 2025,Taxpayers' Union-Curia,1000,31.9,31.3,13.2,10,6.4,4.4,0.5,2.2,0.6
07 Jan 2025,27 Jan 2025,Talbot Mills,1049,33,34,12,9,5.2,4.6,,,1
02 Jan 2025,26 Jan 2025,Roy Morgan,885,32.5,28.5,11.5,9,8.5,6.5,1.5,2,4
09 Jan 2025,13 Jan 2025,Taxpayers' Union-Curia,1000,29.6,30.9,9.5,10.8,8.1,5.3,2.1,3.7,1.3
25 Nov 2024,15 Dec 2024,Roy Morgan,885,31,26,13.5,13,7.5,5.5,1,2.5,5
30 Nov 2024,04 Dec 2024,1 News–Verian,1006,37,29,10,8,6,7,1.5,2,8
01 Dec 2024,03 Dec 2024,Taxpayers' Union-Curia,1000,34.2,26.9,8.3,13,5.4,5.5,1.1,2.2,7.3
22 Nov 2024,28 Nov 2024,Labour–Talbot Mills,,31,32,10,10,6,7,,,1
26 Nov 2024,27 Nov 2024,The Post–Freshwater Strategy,1150,34,31,13,8,6,4,,,3
28 Oct 2024,24 Nov 2024,Roy Morgan,866,28.5,28,13.5,9,6.5,9,3.5,2,0.5
06 Nov 2024,10 Nov 2024,Taxpayers' Union-Curia,1000,38.8,31.5,9.3,8.5,6.5,2.5,0.9,2.1,7.3
01 Nov 2024,10 Nov 2024,Talbot Mills,,34,33,10,10,7,3.3,,,1
23 Sep 2024,20 Oct 2024,Roy Morgan,883,31,29,14,9,7,5,2,3,2
05 Oct 2024,09 Oct 2024,1 News–Verian,1000,37,29,12,8,5,3.8,2.6,2.3,8
03 Oct 2024,07 Oct 2024,Taxpayers' Union-Curia,1000,34.9,30.3,10.4,9.7,7.6,3,2.5,1.6,4.6
26 Aug 2024,22 Sep 2024,Roy Morgan,902,37.5,23,14,10,7.5,4,2.5,1.5,14.5
08 Sep 2024,10 Sep 2024,Taxpayers' Union-Curia,1000,39,26.7,11,8.8,6.8,5,1.1,2.4,12.3
01 Sep 2024,10 Sep 2024,Talbot Mills,,37,32,10,8,6.1,3.9,,,5
29 Jul 2024,25 Aug 2024,Roy Morgan,898,36,26.5,13,9.5,7.5,3.5,2.5,1.5,9.5
10 Aug 2024,14 Aug 2024,1 News–Verian,1001,38,30,11,7,6,4.2,1.1,2.8,8
24 Jun 2024,21 Jul 2024,Roy Morgan,930,32.5,24,14,11,6.5,6,4.5,1.5,8.5
04 Jul 2024,08 Jul 2024,Taxpayers' Union-Curia,1000,37.6,25.9,12.5,9.1,7.3,3.5,2.4,1.8,11.7
27 May 2024,23 Jun 2024,Roy Morgan,930,35,27.5,14.5,9,5.5,3.5,2.5,2.5,7.5
15 Jun 2024,19 Jun 2024,1 News–Verian,1002,38,29,13,7,6,3.3,1.5,2.1,9
04 Jun 2024,06 Jun 2024,Taxpayers' Union-Curia,1000,35.4,29.4,12.7,9.7,5.6,4,0.8,2.4,6
22 Apr 2024,19 May 2024,Roy Morgan,925,33.5,30,14,9.5,5.5,3,3,1.5,3.5
01 May 2024,10 May 2024,Talbot Mills,,35,32,,,,,,,3
05 May 2024,07 May 2024,Taxpayers' Union-Curia,1000,37.3,30,10.2,9.4,5.5,3.1,1.4,3.1,7.3
30 Apr 2024,30 Apr 2024,Labour–Talbot Mills,,34,33,12,7,6,4,,,1
20 Apr 2024,24 Apr 2024,1 News–Verian,1000,36,30,14,7,4.2,3.7,1.2,3.7,6
25 Mar 2024,21 Apr 2024,Roy Morgan,934,36.5,24.5,13,11,5.5,5.5,2,2,12
02 Apr 2024,04 Apr 2024,Taxpayers' Union-Curia,1000,37.1,25.7,14.6,7.2,6.3,4.6,1.6,3,11.4
26 Feb 2024,24 Mar 2024,Roy Morgan,931,38,23,13.5,11.5,6.5,3.5,2.5,1,15
01 Mar 2024,10 Mar 2024,Talbot Mills,1000,38,28,14,8,6,,,,10
03 Mar 2024,05 Mar 2024,Taxpayers' Union-Curia,1000,37.4,25.3,11.3,10,7.4,2.5,2.1,4,12.1
29 Jan 2024,25 Feb 2024,Roy Morgan,935,35.5,21.5,15.5,12,7.5,4,2.5,1.5,14
10 Feb 2024,14 Feb 2024,1 News–Verian,1002,38,28,12,8,6,3.7,1.9,2.6,10
01 Feb 2024,10 Feb 2024,Talbot Mills,,38,29,12,7,6.2,4.9,1.4,,9
01 Feb 2024,07 Feb 2024,Taxpayers' Union-Curia,1000,39.6,27.9,9,13.7,5,2.3,,2.5,11.7
08 Jan 2024,28 Jan 2024,Roy Morgan,947,38,22,15.5,7.5,6,4.5,4.5,2,16
08 Jan 2024,10 Jan 2024,Curia,1000,41,28.4,9.5,7.8,5.6,3.6,,,12.6
27 Nov 2023,17 Dec 2023,Roy Morgan,947,36,22,15.5,9.5,6,5,4,2,14
03 Dec 2023,05 Dec 2023,Curia,,36.5,28.8,10.8,6.2,8.1,5,,4.6,7.7
30 Oct 2023,26 Nov 2023,Roy Morgan,920,37.5,21,12.5,12.5,8,2.5,3.5,2.5,16.5
01 Nov 2023,06 Nov 2023,Taxpayers' Union-Curia,1000,37,28.3,13.8,8.1,6,3.4,2.9,3.7,8.7
